id;start_date;end_date;language
1;2020-05-05T10:54:00;2020-05-05T08:44:15;SPANISH
2;2020-05-04T15:44:11;2020-05-05T10:48:36;SPANISH
3;2020-05-05T06:39:30;2020-05-04T17:13:39;FRENCH
4;2020-05-04T21:57:01;2020-05-05T09:28:27;FRENCH
5;2020-05-05T07:27:19;2020-05-05T12:14:18;FRENCH
6;2020-05-05T01:19:40;2020-05-05T13:27:54;FRENCH
7;2020-05-05T03:05:00;2020-05-04T20:55:51;FRENCH
8;2020-05-05T02:01:13;2020-05-05T12:17:21;SPANISH
9;2020-05-05T00:42:22;2020-05-04T21:23:45;SPANISH
10;2020-05-05T08:54:26;2020-05-04T19:28:56;SPANISH
